,Scoring Offense,Scoring Defense,Scoring Margin,Assists Per Game,Points Per Game,Ground Balls Per Game,Draw Controls Per Game,Draw Control Percentage,Free Position Percentage,Turnovers Per Game,Caused Turnovers Per Game,Win Percentage,Shot Percentage,Shots Per Game,Shots on Goal Per Game,Fouls Per Game,Saves Percentage,Clearing Percentage,team_name
525664,12.62,11.76,0.86,4.95,17.57,14.76,14.67,0.531,0.423,14.33,8.00,0.667,0.412,30.62,22.33,20.14,0.449,0.869,Saint Joseph's Hawks
525594,6.57,15.86,-9.29,2.29,8.86,14.29,7.71,0.319,0.371,18.57,5.07,0.143,0.362,18.14,13.50,15.43,0.452,0.679,Central Conn. St. Blue Devils
525611,12.12,14.06,-1.94,3.35,15.47,20.41,11.88,0.403,0.427,17.94,11.24,0.412,0.420,28.82,21.76,16.71,0.374,0.844,Duquesne Dukes
525617,13.67,11.44,2.22,4.56,18.22,13.83,15.56,0.542,0.472,13.44,8.22,0.500,0.436,31.33,22.83,18.83,0.416,0.900,Georgetown Hoyas
525622,14.50,13.12,1.38,5.44,19.94,14.50,17.06,0.555,0.485,12.25,6.25,0.562,0.413,35.12,25.25,19.44,0.390,0.916,Iona Gaels
525627,7.93,15.87,-7.93,3.33,11.27,16.07,10.93,0.403,0.368,14.87,6.33,0.133,0.310,25.60,18.20,13.53,0.387,0.820,Lafayette Leopards
525628,11.00,11.17,-0.17,6.33,17.33,16.11,11.06,0.425,0.376,14.28,8.44,0.500,0.403,27.28,20.50,18.83,0.527,0.829,Lehigh Mountain Hawks
525638,13.41,12.59,0.82,4.47,17.88,16.47,15.82,0.541,0.500,14.53,8.00,0.471,0.425,31.59,23.06,18.94,0.460,0.840,UMBC Retrievers
525651,12.18,13.76,-1.59,5.00,17.18,13.88,13.06,0.471,0.430,18.12,8.47,0.294,0.424,28.71,21.59,15.71,0.452,0.791,Old Dominion Monarchs
525680,12.89,12.61,0.28,5.22,18.11,15.72,13.17,0.456,0.431,12.67,8.06,0.500,0.439,29.33,20.67,13.00,0.373,0.935,Virginia Tech Hokies
525686,12.19,15.69,-3.50,3.81,16.00,15.19,14.44,0.470,0.456,13.88,5.81,0.312,0.444,27.44,20.75,13.94,0.314,0.840,Elon Phoenix
525595,14.25,12.10,2.15,5.55,19.80,16.65,15.20,0.513,0.435,13.50,8.80,0.600,0.453,31.45,22.55,11.85,0.404,0.862,Central Mich. Chippewas
525602,13.25,12.44,0.81,3.88,17.12,16.50,13.62,0.465,0.459,14.31,7.06,0.500,0.421,31.50,22.56,20.31,0.435,0.870,Cornell Big Red
525606,9.24,14.12,-4.88,4.24,13.47,15.29,12.76,0.472,0.324,17.00,8.06,0.294,0.366,25.24,19.29,16.88,0.406,0.828,Delaware Blue Hens
525621,5.29,18.18,-12.88,1.71,7.00,12.00,8.06,0.334,0.351,18.18,6.35,0.059,0.345,15.35,11.76,6.65,0.389,0.707,Howard Bison
525637,14.33,15.00,-0.67,6.44,20.78,16.56,17.33,0.531,0.411,16.44,8.44,0.444,0.443,32.33,23.28,21.00,0.356,0.818,Marquette Golden Eagles
525645,16.82,8.50,8.32,8.91,25.73,14.18,16.50,0.573,0.443,10.86,7.50,1.000,0.497,33.82,25.05,15.95,0.489,0.927,North Carolina Tar Heels
525661,9.88,9.62,0.25,3.25,13.12,15.00,11.62,0.511,0.516,15.19,6.94,0.375,0.404,24.44,18.94,15.50,0.532,0.871,Sacred Heart Pioneers
525667,15.17,10.89,4.28,5.22,20.39,19.17,15.11,0.512,0.464,13.06,9.83,0.722,0.450,33.72,25.39,25.39,0.376,0.848,Southern California Women of Troy
525669,11.00,15.87,-4.87,4.00,15.00,15.33,14.07,0.476,0.439,15.60,7.93,0.267,0.425,25.87,19.53,6.73,0.326,0.883,Stetson Hatters
525677,13.16,10.21,2.95,5.16,18.32,17.26,12.58,0.472,0.487,16.26,11.89,0.737,0.439,29.95,21.47,21.63,0.436,0.876,Vermont Catamounts
525681,14.25,13.65,0.60,5.50,19.75,13.05,16.90,0.537,0.508,13.30,6.25,0.500,0.452,31.50,21.65,14.95,0.355,0.873,Virginia Cavaliers
525577,10.25,15.88,-5.62,5.06,15.31,19.69,12.50,0.423,0.372,17.12,7.06,0.312,0.397,25.81,18.44,16.12,0.376,0.837,Wofford Terriers
525578,13.21,12.79,0.42,7.42,20.63,19.95,15.95,0.537,0.411,18.84,7.11,0.579,0.454,29.11,21.00,33.79,0.404,0.862,Arizona St. Sun Devils
525597,11.94,12.76,-0.82,6.24,18.18,13.35,13.06,0.464,0.522,13.59,7.53,0.353,0.435,27.47,20.71,21.18,0.430,0.826,Coastal Carolina Chanticleers
525605,5.71,17.21,-11.50,1.57,7.29,13.79,7.21,0.342,0.321,18.93,5.50,0.071,0.357,16.00,12.36,14.36,0.388,0.681,Delaware St. Hornets
525607,13.33,8.38,4.95,5.57,18.90,18.71,12.71,0.507,0.436,13.48,13.00,0.857,0.410,32.52,23.10,24.81,0.411,0.905,Denver Pioneers
525615,10.12,14.59,-4.47,3.65,13.76,13.47,14.59,0.517,0.447,15.18,7.53,0.176,0.386,26.24,20.24,19.24,0.382,0.863,George Mason Patriots
525623,17.21,8.37,8.84,7.79,25.00,14.84,16.05,0.560,0.505,13.00,10.53,0.737,0.464,37.05,27.58,17.58,0.517,0.905,Jacksonville Dolphins
525626,8.59,13.47,-4.88,2.06,10.65,17.06,11.12,0.434,0.400,15.82,7.53,0.294,0.352,24.41,19.06,11.35,0.451,0.852,La Salle Explorers
525631,10.41,13.65,-3.24,6.71,17.12,19.35,13.00,0.472,0.333,17.71,9.12,0.353,0.462,22.53,18.82,13.82,0.410,0.842,Longwood Lancers
525653,11.67,11.07,0.60,5.00,16.67,15.87,12.80,0.494,0.323,11.53,8.20,0.400,0.374,31.20,22.33,23.40,0.392,0.916,Penn St. Nittany Lions
525654,11.07,10.60,0.47,4.73,15.80,15.67,14.20,0.558,0.403,16.80,8.53,0.400,0.385,28.73,19.67,19.13,0.475,0.849,Penn Quakers
525662,8.20,15.33,-7.13,3.53,11.73,12.93,10.73,0.382,0.253,15.60,6.33,0.067,0.338,24.27,18.00,7.93,0.410,0.815,St. Bonaventure Bonnies
525676,12.94,12.94,,7.11,20.06,16.50,13.78,0.472,0.422,15.39,8.56,0.611,0.451,28.72,21.83,24.61,0.426,0.862,Vanderbilt Commodores
525684,10.56,16.17,-5.61,4.28,14.83,14.22,14.00,0.473,0.412,18.56,6.72,0.222,0.460,22.94,17.89,13.33,0.352,0.827,Winthrop Eagles
525691,12.06,12.50,-0.44,4.56,16.61,13.67,13.17,0.478,0.442,11.89,7.11,0.500,0.412,29.28,20.56,14.00,0.436,0.878,East Carolina Pirates
525692,13.53,13.29,0.24,6.65,20.18,17.82,14.71,0.484,0.425,15.88,8.29,0.471,0.473,28.59,21.94,26.94,0.434,0.816,UAlbany Great Danes
525583,16.87,10.39,6.48,6.43,23.30,13.43,16.52,0.544,0.512,11.48,8.57,0.826,0.499,33.83,24.78,14.91,0.342,0.930,Boston College Eagles
525584,9.65,15.94,-6.29,3.59,13.24,15.18,15.71,0.543,0.423,18.12,8.18,0.118,0.402,24.00,17.53,18.06,0.383,0.819,Boston U. Terriers
525586,16.24,10.06,6.18,9.29,25.53,15.18,18.59,0.650,0.384,12.24,7.12,0.706,0.441,36.82,28.24,11.88,0.450,0.903,Bryant Bulldogs
525587,11.00,13.75,-2.75,5.75,16.75,16.50,13.88,0.493,0.418,14.88,9.19,0.375,0.392,28.06,21.06,18.31,0.418,0.869,Bucknell Bison
525591,11.85,13.46,-1.62,6.15,18.00,13.69,14.00,0.485,0.455,15.54,5.00,0.385,0.454,26.08,19.23,12.92,0.465,0.891,UC Davis Aggies
525593,12.69,13.06,-0.38,4.50,17.19,15.75,14.75,0.502,0.443,16.38,8.00,0.625,0.435,29.19,21.62,18.31,0.398,0.865,Canisius Golden Griffins
525599,12.94,12.53,0.41,3.94,16.88,15.29,15.71,0.539,0.462,13.76,5.65,0.647,0.418,30.94,22.94,22.88,0.427,0.884,Colorado Buffaloes
525610,16.20,11.00,5.20,7.45,23.65,15.05,18.60,0.617,0.479,14.20,11.30,0.800,0.492,32.95,24.70,20.20,0.392,0.848,Duke Blue Devils
525616,9.00,13.00,-4.00,3.06,12.06,13.44,12.11,0.474,0.365,16.83,7.17,0.278,0.352,25.56,19.11,17.17,0.463,0.831,George Washington Colonials
525619,11.53,10.88,0.65,4.29,15.82,14.76,12.94,0.502,0.513,12.12,6.71,0.529,0.404,28.53,21.29,20.18,0.468,0.920,Hofstra Pride
525632,13.56,13.44,0.11,4.56,18.11,16.67,14.78,0.484,0.468,13.94,7.61,0.389,0.440,30.78,23.39,20.94,0.342,0.878,Louisville Cardinals
525639,16.10,7.81,8.29,7.10,23.19,17.43,15.62,0.570,0.477,11.00,8.48,0.905,0.483,33.33,26.71,15.10,0.530,0.920,"Maryland Terrapins, Terps"
525649,15.16,11.74,3.42,5.95,21.11,13.47,16.84,0.559,0.485,12.32,9.05,0.474,0.455,33.32,24.68,23.05,0.444,0.870,Notre Dame Fighting Irish
525655,15.16,11.47,3.68,6.11,21.26,17.63,13.89,0.462,0.448,12.00,8.74,0.789,0.449,33.74,25.26,19.79,0.471,0.882,Princeton Tigers
525659,12.39,13.00,-0.61,4.78,17.17,17.72,14.50,0.497,0.393,16.83,8.17,0.500,0.396,31.28,23.28,24.67,0.421,0.787,Robert Morris Colonials
525665,13.33,14.40,-1.07,4.27,17.60,17.60,12.00,0.384,0.453,14.27,8.93,0.467,0.431,30.93,24.00,26.73,0.455,0.831,San Diego St. Aztecs
525671,15.43,11.67,3.76,6.90,22.33,14.05,17.67,0.586,0.448,13.62,6.52,0.714,0.475,32.48,24.14,24.86,0.348,0.909,Syracuse Orange
525673,12.24,11.35,0.88,4.12,16.35,17.41,14.00,0.512,0.451,14.18,7.00,0.529,0.407,30.06,21.06,21.82,0.437,0.882,Towson Tigers
525675,13.45,8.95,4.50,5.15,18.60,19.65,15.45,0.597,0.401,14.05,8.10,0.750,0.392,34.35,24.15,19.15,0.484,0.876,Navy Midshipmen
525693,,,,,,,,,,,,,,,,,,,Merrimack Warriors
525579,10.39,14.39,-4.00,3.00,13.39,17.50,13.06,0.461,0.434,17.72,6.61,0.333,0.392,26.50,18.56,12.89,0.433,0.801,Kent St. Golden Flashes
525603,8.53,12.67,-4.13,2.47,11.00,16.27,12.80,0.519,0.474,17.40,5.73,0.200,0.370,23.07,16.20,22.27,0.421,0.787,Dartmouth Big Green
525608,9.47,16.53,-7.07,4.73,14.20,15.47,15.20,0.509,0.406,17.07,6.20,0.133,0.378,25.07,18.13,17.07,0.326,0.792,Detroit Mercy Titans
525613,15.36,9.45,5.91,7.45,22.82,15.95,14.77,0.523,0.508,11.50,8.50,0.773,0.479,32.09,25.14,22.73,0.476,0.902,Florida Gators
525614,11.31,15.75,-4.44,5.00,16.31,16.56,15.06,0.496,0.420,16.06,8.25,0.500,0.405,27.94,20.12,23.00,0.359,0.827,Furman Paladins
525618,10.13,11.20,-1.07,3.73,13.87,17.93,11.60,0.464,0.411,16.07,8.27,0.467,0.385,26.33,18.73,20.73,0.404,0.843,Harvard Crimson
525629,13.95,11.89,2.05,5.47,19.42,20.89,13.79,0.470,0.431,16.68,13.58,0.579,0.434,32.16,25.21,22.32,0.372,0.825,Liberty Lady Flames
525634,16.59,8.05,8.55,7.91,24.50,14.68,17.23,0.615,0.562,12.95,8.23,0.909,0.515,32.23,24.91,22.68,0.470,0.924,Loyola Maryland Greyhounds
525636,10.00,14.94,-4.94,4.88,14.88,14.50,12.62,0.446,0.492,15.00,6.06,0.188,0.374,26.75,19.50,16.75,0.405,0.834,Marist Red Foxes
525646,11.33,13.53,-2.20,5.13,16.47,15.33,11.67,0.410,0.444,13.87,5.87,0.467,0.437,25.93,20.60,11.93,0.387,0.867,New Hampshire Wildcats
525660,13.57,10.19,3.38,6.00,19.57,18.95,14.10,0.518,0.504,16.29,9.29,0.762,0.450,30.14,21.76,21.67,0.454,0.843,Rutgers Scarlet Knights
525666,12.72,12.17,0.56,6.56,19.28,15.61,12.67,0.452,0.346,13.28,6.67,0.556,0.457,27.83,19.61,25.89,0.450,0.893,Siena Saints
